date,code,name,open,low,high,close,volume,amount
2025-01-03,sh603072,N天和,40.0,38.01,100.0,48.0,50782000.0,2549722539.0
2025-01-03,sz301581,N黄山谷,80.0,69.1,99.99,70.01,15753400.0,1301800741.49
2025-01-03,sz300615,欣天科技,15.27,14.33,16.55,16.55,48571000.0,756045849.16
2025-01-03,sz301568,思泰克,34.2,34.2,40.32,40.32,19704500.0,778800225.25
2025-01-03,sz300630,普利制药,6.81,6.55,7.87,7.72,69824800.0,512680235.53
2025-01-03,sz300323,华灿光电,10.06,9.94,10.93,10.26,303188600.0,3218619372.38
2025-01-03,sz300718,长盛轴承,33.06,31.68,38.38,36.58,67459400.0,2342959519.17
2025-01-03,sz002426,胜利精密,2.72,2.55,2.92,2.92,354385900.0,997532490.76
2025-01-03,sz002076,星光股份,2.52,2.38,2.71,2.71,166877500.0,429795556.0
2025-01-03,sh603617,君禾股份,8.87,8.08,8.87,8.87,112370600.0,984576284.0
2025-01-03,sz000533,顺钠股份,6.66,6.46,7.34,7.34,240089500.0,1713402307.5
2025-01-03,sz000882,华联股份,2.3,2.15,2.52,2.52,612836300.0,1487786178.19
2025-01-03,sz002184,海得控制,14.14,13.35,14.14,14.14,91680300.0,1283620520.61
2025-01-03,sz002117,东港股份,12.63,12.35,14.14,14.14,113842400.0,1575864182.6
2025-01-03,sz002213,大为股份,12.8,12.36,14.25,14.25,29416100.0,408535376.49
2025-01-03,sh603320,迪贝电气,15.24,15.24,15.24,15.24,3844700.0,58592877.0
2025-01-03,sz002552,宝鼎科技,13.19,13.08,14.48,14.48,27072100.0,371692362.95
2025-01-03,sz002793,罗欣药业,3.9,3.85,4.17,4.17,87169900.0,361673276.13
2025-01-03,sz000785,居然智家,3.72,3.42,4.17,4.17,491946900.0,1949125226.12
2025-01-03,sh600071,凤凰光学,20.05,19.42,22.07,22.07,14913900.0,313690421.0
2025-01-03,sh605208,永茂泰,7.49,7.41,8.13,8.13,23352600.0,186448713.0
2025-01-03,sh603016,新宏泰,37.81,37.81,41.2,41.2,3714500.0,150454712.0
2025-01-03,sz003015,日久光电,14.33,14.32,15.28,15.28,62605600.0,953197065.17
2025-01-03,sh605199,葫芦娃,15.99,15.42,17.49,17.49,32103500.0,534471797.0
2025-01-03,sh600693,东百集团,8.47,7.28,8.47,8.47,219662800.0,1825288505.0
2025-01-03,sh600618,氯碱化工,10.0,9.98,10.89,10.89,38877300.0,418002448.0
2025-01-03,sh600397,安源煤业,3.55,3.42,4.18,4.18,207445700.0,805958947.0
2025-01-03,sz002952,亚世光电,27.31,26.46,28.16,28.16,24829900.0,693347720.07
2025-01-03,sz002313,日海智能,8.47,8.47,8.47,8.47,6548300.0,55464101.0
2025-01-03,sz000981,山子高科,2.42,2.42,2.42,2.42,53215100.0,128780421.0
2025-01-03,sz000852,石化机械,6.6,6.46,7.48,7.48,87010900.0,626452398.63
2025-01-03,sh600789,鲁抗医药,9.55,9.5,10.57,10.57,114459600.0,1173345796.0
2025-01-03,sh603215,比依股份,20.59,20.59,20.59,20.59,11370600.0,234120489.0
2025-01-03,sz000737,北方铜业,7.65,7.6,8.37,8.37,66004400.0,539342181.1
2025-01-03,sz002449,国星光电,14.32,14.09,14.32,14.32,148165100.0,2121204564.43
2025-01-03,sh600530,交大昂立,5.6,4.87,5.84,5.84,122027700.0,694592296.0
2025-01-03,sz000756,新华制药,15.23,15.14,16.75,16.75,43305300.0,719200713.61
2025-01-03,sz002730,电光科技,15.9,14.25,16.53,16.53,114705100.0,1828958976.18
2025-01-03,sh605033,美邦股份,14.48,14.48,14.55,14.55,3528800.0,51275313.0
2025-01-03,sh600288,大恒科技,8.55,8.55,9.48,9.48,61352900.0,571522767.0
2025-01-03,sh600664,哈药股份,3.89,3.8,4.3,4.3,285894300.0,1205497660.0
2025-01-03,sz002733,雄韬股份,13.81,13.58,15.55,15.55,69727100.0,1046420159.44
2025-01-03,sh600824,益民集团,4.95,4.43,5.41,5.41,250964000.0,1234965820.0
2025-01-03,sz002369,卓翼科技,6.36,6.12,6.85,6.85,151208900.0,998425679.49
2025-01-03,sz000573,粤宏远Ａ,3.43,3.43,3.43,3.43,13609500.0,46680430.65
2025-01-03,sz002361,神剑股份,5.7,5.55,5.87,5.87,289808800.0,1679074427.96
2025-01-03,sz002397,梦洁股份,3.55,3.46,3.55,3.55,67828200.0,240701237.33
2025-01-03,sz002713,东易日盛,4.55,4.55,4.55,4.55,7763500.0,35323761.2
2025-01-03,sh601011,宝泰隆,2.66,2.55,3.0,3.0,253653000.0,734507564.0
2025-01-03,sz002269,美邦服饰,2.28,2.23,2.46,2.46,431226800.0,1024900329.21
2025-01-03,sz000952,广济药业,5.85,5.76,6.52,6.5,38018300.0,243006101.5
2025-01-03,sz002193,如意集团,6.27,6.1,6.81,6.8,72546500.0,472127048.73
2025-01-03,sz301336,趣睡科技,55.11,54.17,59.3,59.3,4494400.0,256914504.43
2025-01-03,sz301123,奕东电子,20.37,19.61,23.0,21.65,15802700.0,340439549.76
2025-01-03,sz002119,康强电子,14.52,13.89,15.92,15.48,86015400.0,1317555801.17
2025-01-03,sz300139,晓程科技,15.35,15.3,16.5,15.96,40441100.0,647054436.19
2025-01-03,sz001328,登康口腔,32.68,32.03,35.21,34.93,5026100.0,171687551.11
2025-01-03,sz300540,蜀道装备,23.88,23.15,26.59,25.4,9295700.0,232538550.76
2025-01-03,sh600743,华远地产,2.25,2.15,2.48,2.41,138242100.0,320425574.0
