date,code,main_amount,main_percent
2024-12-25,sz002085,1114994384.0,16.07
2024-12-25,sz000063,418315424.0,3.21
2024-12-25,sz002449,367757184.0,12.46
2024-12-25,sh603019,356516000.0,4.29
2024-12-25,sz301236,291119632.0,9.82
2024-12-25,sh600104,259685120.0,11.37
2024-12-25,sz300308,259278736.0,5.28
2024-12-25,sz300853,246528868.0,25.25
2024-12-25,sz000759,244165104.0,14.77
2024-12-25,sz300803,201413984.0,7.86
2024-12-25,sh600255,180675456.0,6.69
2024-12-25,sz300383,164351328.0,5.87
2024-12-25,sz000880,158268928.0,10.92
2024-12-25,sh600050,151767072.0,4.12
2024-12-25,sz300394,147331434.0,8.01
2024-12-25,sh601933,144306464.0,3.3
2024-12-25,sz001696,140053328.0,3.8
2024-12-25,sz300750,136580288.0,4.47
2024-12-25,sh600855,133924137.0,22.24
2024-12-25,sz300548,131738016.0,7.18
2024-12-25,sz301252,131439416.0,33.05
2024-12-25,sh603296,127360400.0,7.19
2024-12-25,sh603126,122665511.0,33.39
2024-12-25,sz000099,115540761.0,4.82
2024-12-25,sh601816,113421369.0,14.3
2024-12-25,sz000338,110658416.0,5.2
2024-12-25,sh601857,108925504.0,4.86
2024-12-25,sz002625,106672324.0,7.42
2024-12-25,sh600276,105535942.0,7.17
2024-12-25,sz000564,105020992.0,4.15
2024-12-25,sz000988,104142666.0,8.21
2024-12-25,sh600690,101823146.0,9.86
2024-12-25,sh603390,100957146.0,37.24
2024-12-25,sh600340,96859012.0,9.46
2024-12-25,sz000938,94027184.0,2.39
2024-12-25,sh600679,93286115.0,8.72
2024-12-25,sh600693,92883868.0,23.15
2024-12-25,sh603083,92411369.0,4.56
2024-12-25,sz002747,90107072.0,8.49
2024-12-25,sz002660,87069004.0,24.43
2024-12-25,sh603711,86654588.0,28.83
2024-12-25,sh603009,83081363.0,8.52
2024-12-25,sz002837,82743372.0,6.49
2024-12-25,sh601166,81455271.0,5.7
2024-12-25,sz002137,77148214.0,6.0
2024-12-25,sh600609,75962372.0,14.15
2024-12-25,sz000628,75102622.0,5.82
2024-12-25,sh600845,72295026.0,7.8
2024-12-25,sz002390,71918606.0,18.86
2024-12-25,sz002843,71782049.0,13.38
2024-12-25,sh600590,71316348.0,39.41
2024-12-25,sh603686,70041891.0,17.98
2024-12-25,sz002916,66648548.0,7.83
2024-12-25,sh601668,65772162.0,6.02
2024-12-25,sz300956,63975416.0,12.04
2024-12-25,sz002577,63833879.0,39.64
2024-12-25,sz002245,62787086.0,7.05
2024-12-25,sh601601,60749512.0,7.1
2024-12-25,sz002698,60099274.0,9.86
2024-12-25,sz300870,59873957.0,13.34
2024-12-25,sz002472,59605514.0,5.03
2024-12-25,sz002219,58847901.0,28.85
2024-12-25,sh600778,58668919.0,10.25
2024-12-25,sz301018,58337172.0,7.95
2024-12-25,sz000415,58095938.0,9.9
2024-12-25,sh600223,57345210.0,15.02
2024-12-25,sz301165,55643997.0,3.55
2024-12-25,sz002271,55610543.0,3.89
2024-12-25,sh601198,55098966.0,8.95
2024-12-25,sh605378,54295236.0,37.4
2024-12-25,sh600153,54141356.0,16.01
2024-12-25,sh600919,53640248.0,5.06
2024-12-25,sh600188,53322845.0,9.13
2024-12-25,sz002922,52061216.0,7.38
2024-12-25,sz300699,51109692.0,15.61
2024-12-25,sh600452,50568330.0,15.99
2024-12-25,sz300638,50503884.0,4.25
2024-12-25,sh601137,48542972.0,9.48
2024-12-25,sz002517,48538249.0,9.15
2024-12-25,sz300068,48381355.0,4.81
2024-12-25,sz002172,46704267.0,14.26
2024-12-25,sh601360,46646486.0,3.35
2024-12-25,sz300377,46398624.0,1.95
2024-12-25,sz002779,46093034.0,5.09
2024-12-25,sz000597,44539584.0,8.98
2024-12-25,sz000801,44224606.0,3.33
2024-12-25,sz002123,43101643.0,4.69
2024-12-25,sz300831,42951667.0,5.43
2024-12-25,sh600808,42721604.0,10.3
2024-12-25,sz002897,42714884.0,4.2
2024-12-25,sz002510,41507757.0,6.07
2024-12-25,sh603016,40633922.0,23.52
2024-12-25,sz301251,39647094.0,6.32
2024-12-25,sz000627,39519571.0,2.83
2024-12-25,sh605066,39132522.0,25.51
