date,code,name,main_amount,main_percent
2025-01-03,sh603072,N天和,593695241.0,23.28
2025-01-03,sz002449,国星光电,451092381.0,21.27
2025-01-03,sh600789,鲁抗医药,364485727.0,31.06
2025-01-03,sz002426,胜利精密,364183896.0,36.51
2025-01-03,sz301581,N黄山谷,349207364.0,26.82
2025-01-03,sh601899,紫金矿业,343971792.0,7.02
2025-01-03,sz003015,日久光电,297339709.0,31.19
2025-01-03,sz000785,居然智家,275200128.0,14.12
2025-01-03,sz002369,卓翼科技,198747078.0,19.91
2025-01-03,sz000756,新华制药,198683944.0,27.63
2025-01-03,sz002952,亚世光电,190950127.0,27.54
2025-01-03,sh603993,洛阳钼业,190907584.0,8.51
2025-01-03,sz002213,大为股份,188890915.0,46.24
2025-01-03,sz002119,康强电子,183002318.0,13.89
2025-01-03,sz000737,北方铜业,173400441.0,32.15
2025-01-03,sh601011,宝泰隆,169014722.0,23.01
2025-01-03,sz002733,雄韬股份,168702323.0,16.12
2025-01-03,sz002475,立讯精密,167256960.0,5.58
2025-01-03,sz002269,美邦服饰,165903580.0,16.19
2025-01-03,sz000882,华联股份,165567110.0,11.13
2025-01-03,sz300502,新易盛,161479936.0,4.85
2025-01-03,sh600288,大恒科技,160233521.0,28.04
2025-01-03,sz000933,神火股份,147162078.0,11.88
2025-01-03,sh600398,海澜之家,142996070.0,11.31
2025-01-03,sz002155,湖南黄金,141340672.0,10.4
2025-01-03,sz301568,思泰克,140587203.0,18.05
2025-01-03,sz002371,北方华创,134218160.0,5.39
2025-01-03,sh600547,山东黄金,133851542.0,8.25
2025-01-03,sz000852,石化机械,129334259.0,20.65
2025-01-03,sz000786,北新建材,114907812.0,8.61
2025-01-03,sz300913,兆龙互连,110634847.0,6.2
2025-01-03,sh600664,哈药股份,106341855.0,8.82
2025-01-03,sz300718,长盛轴承,99013713.0,4.23
2025-01-03,sh601600,中国铝业,89667189.0,6.78
2025-01-03,sz300115,长盈精密,88995616.0,6.21
2025-01-03,sz000795,英洛华,88321180.0,7.73
2025-01-03,sz300182,捷成股份,87580890.0,6.25
2025-01-03,sh603215,比依股份,87326308.0,37.3
2025-01-03,sh600618,氯碱化工,86651845.0,20.73
2025-01-03,sz300570,太辰光,84355742.0,4.25
2025-01-03,sz002648,卫星化学,80686056.0,8.63
2025-01-03,sz000921,海信家电,76819622.0,9.39
2025-01-03,sh600026,中远海能,72960861.0,13.63
2025-01-03,sz000981,山子高科,72690901.0,56.45
2025-01-03,sh600373,中文传媒,72349199.0,20.55
