,industry
0,小金属
1,汽车零部件
2,通信设备
3,专用设备
4,化学制药
5,光学光电子
6,工程机械
7,通用设备
8,家电行业
10,电网设备
11,商业百货
13,造纸印刷
14,半导体
15,电机
23,中药
25,化学原料
26,煤炭行业
33,有色金属
35,食品饮料
38,农药兽药
39,电子元件
41,电池
43,消费电子
44,房地产开发
45,塑料制品
46,纺织服装
47,装修装饰
52,家用轻工
55,贵金属
56,美容护理
63,文化传媒
66,电力行业
69,装修建材
70,化纤行业
71,生物制品
75,化学制品
77,农牧饲渔
82,贸易行业
85,医疗器械
90,非金属材料
98,环保行业
101,互联网服务
109,综合行业
126,物流行业
128,交运设备
130,光伏设备
139,燃气
141,采掘行业
154,航运港口
157,汽车整车
159,铁路公路
161,石油行业
174,电源设备
177,工程建设
193,医疗服务
198,船舶制造
199,酿酒行业
201,水泥建材
204,教育
212,风电设备
217,公用事业
228,房地产服务
283,银行
290,软件开发
292,钢铁行业
296,橡胶制品
301,多元金融
305,电子化学品
307,化肥行业
312,航空机场
320,玻璃玻纤
330,包装材料
359,专业服务
381,计算机设备
407,-
408,仪器仪表
449,通信服务
480,航天航空
610,医药商业
633,能源金属
697,证券
753,珠宝首饰
788,保险
1102,游戏
1271,工程咨询服务
1300,汽车服务
1486,旅游酒店
