total_amount,market_amount,industry,create_time,code,name,total_volume,market_volume
11628320000.0,2848807544.0,小金属,20250103,sh603072,C天和,264280000.0,64745626.0
5224000000.0,1306000000.0,汽车零部件,20250103,sz301581,C黄山谷,80000000.0,20000000.0
3493377823.9999995,2390759929.7599998,通信设备,20170215,sz300615,欣天科技,193217800.0,132232297.0
4138596672.0,1909572281.52,专用设备,20231128,sz301568,思泰克,103258400.0,47644019.0
3487708597.0,2611623936.3199997,化学制药,20170328,sz300630,普利制药,451775725.0,338293256.0
13876639714.35,7516743213.150001,光学光电子,20120601,sz300323,华灿光电,1622998797.0,879151253.0
9262149930.0,6009791223.0,工程机械,20171106,sz300718,长盛轴承,298779030.0,193864233.0
10684245376.24,10684163657.74,通用设备,20100608,sz002426,胜利精密,3402625916.0,3402599891.0
3205369778.9900002,2986096054.7000003,家电行业,20061025,sz002076,星光股份,1109124491.0,1033251230.0
3813049849.12,3709593849.12,通用设备,20170703,sh603617,君禾股份,390681337.0,380081337.0
5505803520.0,5458672128.0,电网设备,19940103,sz000533,顺钠股份,690816000.0,684902400.0
6350656517.04,6346393097.12,商业百货,19980616,sz000882,华联股份,2737351947.0,2735514266.0
5028770607.299999,3430707532.16,专用设备,20071116,sz002184,海得控制,351908370.0,240077504.0
6666967757.150001,6664851076.400001,造纸印刷,20070302,sz002117,东港股份,523720955.0,523554680.0
3434004400.0,2982805630.7200003,半导体,20080201,sz002213,大为股份,237155000.0,205994864.0
2241083737.7999997,2241083737.7999997,电机,20170502,sh603320,迪贝电气,133875970.0,133875970.0
6508074681.2699995,5101324370.28,通用设备,20110225,sz002552,宝鼎科技,408542039.0,320233796.0
4981155265.88,4973600363.52,化学制药,20160415,sz002793,罗欣药业,1087588486.0,1085938944.0
25382470915.62,24046430719.219997,商业百货,19970711,sz000785,居然智家,6251840127.0,5922766187.0
6076364524.62,6076364524.62,光学光电子,19970528,sh600071,凤凰光学,281573889.0,281573889.0
2949663600.0,2949663600.0,汽车零部件,20210308,sh605208,永茂泰,329940000.0,329940000.0
6428662400.0,6428662400.0,电网设备,20160701,sh603016,新宏泰,148160000.0,148160000.0
4407125338.559999,3892796517.12,光学光电子,20201021,sz003015,日久光电,281066667.0,248265084.0
7698092388.48,7698092388.48,中药,20200710,sh605199,葫芦娃,400108752.0,400108752.0
6628228394.52,6621420198.84,商业百货,19931122,sh600693,东百集团,869846246.0,868952782.0
13182959726.4,8548175726.400001,化学原料,19921113,sh600618,氯碱化工,1156399976.0,749839976.0
4553815457.2,4553815457.2,煤炭行业,20020702,sh600397,安源煤业,989959882.0,989959882.0
4164375600.0,3346021110.88,光学光电子,20190328,sz002952,亚世光电,164340000.0,132045032.0
2954016000.0,2953985820.75,通信设备,20091203,sz002313,日海智能,374400000.0,374396175.0
22694258915.76,14812102876.04,汽车零部件,20000622,sz000981,山子高科,9997470888.0,6525155452.0
6998957163.4800005,6888130094.280001,专用设备,19981126,sz000852,石化机械,956141689.0,941001379.0
10451527820.16,10451527820.16,化学制药,19970226,sh600789,鲁抗医药,898669632.0,898669632.0
4269715237.35,1608886804.5,家电行业,20220218,sh603215,比依股份,188508399.0,71032530.0
15438093214.570002,15436464662.320002,有色金属,19970428,sz000737,北方铜业,1772456167.0,1772269192.0
8269039749.53,8242523295.929999,光学光电子,20100716,sz002449,国星光电,618477169.0,616493889.0
4076079200.0,4076079200.0,食品饮料,20010702,sh600530,交大昂立,774920000.0,774920000.0
12576772713.05,8270911473.23,化学制药,19970806,sz000756,新华制药,682407635.0,448774361.0
6206049143.2,5930952143.2,专用设备,20141009,sz002730,电光科技,362079880.0,346029880.0
1957696000.0,1957696000.0,农药兽药,20210916,sh605033,美邦股份,135200000.0,135200000.0
3953040000.0000005,3953040000.0000005,电子元件,20001129,sh600288,大恒科技,436800000.0,436800000.0
11912551713.480001,11912551713.480001,化学制药,19930629,sh600664,哈药股份,2518509876.0,2518509876.0
5720960054.570001,5492366481.51,电池,20141203,sz002733,雄韬股份,384214913.0,368862759.0
5849850255.15,5849850255.15,商业百货,19940204,sh600824,益民集团,1054027073.0,1054027073.0
3673876694.4,3665415920.4,消费电子,20100316,sz002369,卓翼科技,566956280.0,565650605.0
2406317877.08,2386277367.63,房地产开发,19940815,sz000573,粤宏远Ａ,638280604.0,632964819.0
5382857924.54,4538884089.440001,塑料制品,20100303,sz002361,神剑股份,951034969.0,801922984.0
2751835710.2400002,2163296092.32,纺织服装,20100429,sz002397,梦洁股份,747781443.0,587852199.0
1820790493.2,1785319013.52,装修装饰,20140219,sz002713,东易日盛,419536980.0,411363828.0
5919403425.509999,5919403425.509999,煤炭行业,20110309,sh601011,宝泰隆,1915664539.0,1915664539.0
5854125000.0,5854125000.0,纺织服装,20080828,sz002269,美邦服饰,2512500000.0,2512500000.0
2242572722.9900002,2204960612.15,化学制药,19991112,sz000952,广济药业,349855339.0,343987615.0
1688065297.5,1688055622.5,纺织服装,20071207,sz002193,如意集团,261715550.0,261714050.0
2160000000.0,1390317696.0,家用轻工,20220812,sz301336,趣睡科技,40000000.0,25746624.0
5244320000.0,1715543981.85,消费电子,20220125,sz301123,奕东电子,233600000.0,76416213.0
5715575320.0,5715575320.0,半导体,20070302,sz002119,康强电子,375284000.0,375284000.0
4153840000.0,3542160151.0,贵金属,20101112,sz300139,晓程科技,274000000.0,233651725.0
6007143882.0,1501787715.0,美容护理,20230410,sz001328,登康口腔,172173800.0,43043500.0
4223702861.22,3706643952.2,专用设备,20160823,sz300540,蜀道装备,165375993.0,145130930.0
5396032010.2,5396032010.2,房地产开发,19960909,sh600743,华远地产,2346100874.0,2346100874.0
