date,code,main_amount,main_percent
2025-01-05,sz300766,271507460.0,15.29
2025-01-05,sh601933,262034469.0,10.58
2025-01-05,sz002265,226906384.0,8.22
2025-01-05,sz002245,226154471.0,16.6
2025-01-05,sh603083,216213818.0,28.96
2025-01-05,sz002364,188506375.0,15.93
2025-01-05,sz300308,181507984.0,7.24
2025-01-05,sh600405,103853048.0,21.5
2025-01-05,sh600160,101599349.0,9.55
2025-01-05,sh601899,98255888.0,4.35
2025-01-05,sz301157,93991154.0,31.42
2025-01-05,sz300274,93470736.0,4.64
2025-01-05,sz300502,91639648.0,4.35
2025-01-05,sz002317,89640375.0,12.21
2025-01-05,sh603118,88262864.0,9.38
2025-01-05,sh600259,87822193.0,29.34
2025-01-05,sh600398,81679291.0,7.29
2025-01-05,sz000807,77528466.0,8.32
2025-01-05,sz002466,65265470.0,10.49
2025-01-05,sh600522,64387560.0,20.03
2025-01-05,sh601288,64369856.0,3.64
2025-01-05,sh603063,63938305.0,39.73
2025-01-05,sh600547,61229487.0,7.77
2025-01-05,sh605277,60530464.0,31.91
2025-01-05,sh600111,59971686.0,8.15
2025-01-05,sz002603,59472868.0,6.51
2025-01-05,sh600191,59089988.0,27.04
2025-01-05,sh603296,57237976.0,10.12
2025-01-05,sz002418,52898983.0,33.28
2025-01-05,sz000933,51398538.0,7.06
2025-01-05,sh605117,51288975.0,5.35
2025-01-05,sz002640,50805115.0,4.07
2025-01-05,sz000792,50204418.0,6.38
2025-01-05,sh603366,49526508.0,8.7
2025-01-05,sz000597,49470663.0,8.07
2025-01-05,sh600206,49133288.0,9.93
2025-01-05,sh601939,49102290.0,5.97
2025-01-05,sz002552,48166662.0,9.88
2025-01-05,sh600221,46775533.0,8.17
2025-01-05,sh600010,46685104.0,8.75
2025-01-05,sz300039,46045611.0,9.59
2025-01-05,sz300570,45904169.0,2.92
2025-01-05,sz002174,45663186.0,12.11
2025-01-05,sh601857,45248728.0,5.36
2025-01-05,sz000831,44103078.0,7.02
2025-01-05,sz002532,44038749.0,12.43
2025-01-05,sz002112,43567107.0,7.25
2025-01-05,sh603379,43104353.0,14.08
2025-01-05,sh601985,42640603.0,5.54
2025-01-05,sh603019,42344688.0,2.21
2025-01-05,sh600066,42114323.0,4.08
2025-01-05,sz000518,40951621.0,32.36
2025-01-05,sh600812,39774443.0,25.79
2025-01-05,sh601166,39573871.0,4.1
2025-01-05,sz002261,38979453.0,5.31
2025-01-05,sz002463,38902418.0,4.47
2025-01-05,sh600837,37958192.0,11.38
2025-01-05,sz002370,37604968.0,26.95
2025-01-05,sz300010,37405150.0,7.22
2025-01-05,sz300434,36633851.0,15.22
2025-01-05,sh600367,36391273.0,26.39
2025-01-05,sh600104,35959654.0,3.94
2025-01-05,sh600577,35488478.0,4.93
2025-01-05,sh603269,35205854.0,25.39
2025-01-05,sz000697,35014754.0,35.41
2025-01-05,sh600807,34327359.0,11.08
2025-01-05,sz300341,33824045.0,10.61
2025-01-05,sz002779,33816295.0,14.56
2025-01-05,sh603920,33529855.0,7.99
2025-01-05,sh600690,33352039.0,5.93
2025-01-05,sz002225,32738771.0,22.36
2025-01-05,sh600028,32689109.0,5.81
2025-01-05,sz300123,32125665.0,12.1
2025-01-05,sh600392,31776313.0,10.92
2025-01-05,sz300547,30987055.0,3.64
2025-01-05,sh600438,30830690.0,3.84
2025-01-05,sh601009,30713367.0,8.24
2025-01-05,sz000630,30358210.0,8.05
2025-01-05,sh600868,29831334.0,44.5
2025-01-05,sz300827,29457897.0,9.36
2025-01-05,sh603883,29102039.0,9.28
2025-01-05,sh603225,28927194.0,13.37
2025-01-05,sz000338,28325928.0,3.77
2025-01-05,sh605208,28165316.0,16.87
2025-01-05,sz300122,27749486.0,7.21
2025-01-05,sh600721,27718736.0,12.79
2025-01-05,sz002332,27494777.0,10.27
2025-01-05,sz301358,27183245.0,9.93
2025-01-05,sz002068,26949122.0,7.57
2025-01-05,sz000333,26870757.0,1.89
2025-01-05,sz300418,26195547.0,3.54
2025-01-05,sh603306,25890195.0,10.85
2025-01-05,sz000612,25877938.0,6.83
2025-01-05,sz300498,25844455.0,4.76
2025-01-05,sh600521,25471927.0,16.13
2025-01-05,sz002799,25368260.0,19.95
2025-01-05,sh603803,25177570.0,6.88
2025-01-05,sz002346,25071423.0,36.37
2025-01-05,sz002126,24208933.0,10.19
2025-01-05,sh603500,24030209.0,8.88
2025-01-05,sh601233,23621191.0,10.16
2025-01-05,sz300748,23572843.0,5.99
2025-01-05,sz001206,23547331.0,7.24
2025-01-05,sz300432,23501876.0,5.76
2025-01-05,sh600422,22883548.0,10.69
2025-01-05,sh603986,22750272.0,1.23
2025-01-05,sh603516,22722259.0,6.25
2025-01-05,sh600618,22714722.0,3.87
2025-01-05,sz002459,22624790.0,6.79
2025-01-05,sz002130,22565488.0,0.92
2025-01-05,sz002737,22312153.0,5.57
2025-01-05,sh600641,21829162.0,10.9
2025-01-05,sz000795,21597259.0,2.63
2025-01-05,sz002475,21464769.0,1.93
2025-01-05,sh601360,21391054.0,2.76
2025-01-05,sz300026,21332320.0,5.93
2025-01-05,sh603825,21250999.0,9.27
2025-01-05,sz301078,20958292.0,7.3
2025-01-05,sz002281,20679550.0,1.33
2025-01-05,sz002271,20573554.0,9.52
2025-01-05,sz300158,20304559.0,6.84
2025-01-05,sz002460,19990310.0,2.65
2025-01-05,sh601156,19739828.0,15.43
2025-01-05,sh601006,19579322.0,6.36
2025-01-05,sz301093,19556200.0,15.7
2025-01-05,sh601988,19555802.0,2.48
2025-01-05,sz300493,19530432.0,1.01
2025-01-05,sz000531,19378408.0,22.53
2025-01-05,sz300563,19137342.0,2.59
2025-01-05,sz300627,19042719.0,9.96
2025-01-05,sh600811,18653882.0,4.81
2025-01-05,sz000878,18518703.0,6.61
2025-01-05,sz000617,18509339.0,6.44
2025-01-05,sz002335,18351543.0,3.91
2025-01-05,sh603617,18067612.0,3.22
2025-01-05,sz002581,17875041.0,23.05
2025-01-05,sz300267,17598433.0,13.28
2025-01-05,sh600176,17509391.0,11.48
2025-01-05,sz002397,17497933.0,3.22
2025-01-05,sh603121,17157597.0,11.38
2025-01-05,sz002166,17019835.0,14.49
2025-01-05,sh603815,16608452.0,41.07
2025-01-05,sh600919,16559008.0,2.19
2025-01-05,sz002837,16555271.0,2.53
2025-01-05,sz301363,16317945.0,8.05
2025-01-05,sh600879,16275813.0,8.46
2025-01-05,sz300394,16238716.0,1.89
2025-01-05,sz301387,16222784.0,5.91
2025-01-05,sz300693,16126049.0,3.14
2025-01-05,sz002253,16072901.0,11.3
2025-01-05,sz002594,16056582.0,1.16
2025-01-05,sz300615,15752572.0,2.35
2025-01-05,sz002660,15698824.0,6.88
2025-01-05,sz001965,15649907.0,6.97
2025-01-05,sz002384,15586748.0,1.19
2025-01-05,sh600563,15546871.0,12.67
2025-01-05,sh600763,15370599.0,11.46
2025-01-05,sz000937,15285774.0,7.73
2025-01-05,sz002865,15228258.0,3.21
2025-01-05,sz300249,15211253.0,2.42
2025-01-05,sh600129,15173110.0,7.37
2025-01-05,sz300127,15146764.0,2.81
2025-01-05,sh601615,15054471.0,3.96
2025-01-05,sz002518,15034462.0,2.22
2025-01-05,sh601019,14806693.0,8.67
2025-01-05,sh601169,14630311.0,2.83
2025-01-05,sz000868,14579995.0,10.91
2025-01-05,sz301191,14578630.0,8.24
2025-01-05,sz000702,14495829.0,18.36
2025-01-05,sz000573,14382927.0,45.5
2025-01-05,sz000680,14265182.0,5.93
2025-01-05,sz300014,14184715.0,2.34
2025-01-05,sz300363,13944603.0,8.43
2025-01-05,sh600698,13933687.0,10.56
2025-01-05,sh603619,13706152.0,7.92
2025-01-05,sz000301,13397794.0,12.09
2025-01-05,sz300759,13321311.0,5.5
2025-01-05,sz002127,13290604.0,4.19
2025-01-05,sh601168,13133777.0,3.22
2025-01-05,sh601872,13101011.0,9.31
2025-01-05,sz002966,13031651.0,7.14
2025-01-05,sh601991,13014303.0,9.68
2025-01-05,sh600157,13001306.0,1.34
2025-01-05,sh603368,12931849.0,10.07
2025-01-05,sh601012,12919207.0,1.91
2025-01-05,sh600734,12895270.0,10.73
2025-01-05,sh600829,12885110.0,10.42
2025-01-05,sh603596,12852395.0,11.94
2025-01-05,sh600380,12848607.0,5.99
2025-01-05,sh600478,12807319.0,17.46
2025-01-05,sz002550,12706711.0,15.29
2025-01-05,sz300777,12619511.0,8.26
2025-01-05,sh600567,12606511.0,8.13
2025-01-05,sz000636,12595267.0,7.49
2025-01-05,sh605020,12477189.0,6.34
2025-01-05,sz002390,12449741.0,5.09
2025-01-05,sh600056,12374781.0,3.96
2025-01-05,sz001217,12312832.0,4.45
2025-01-05,sz002155,12218559.0,1.64
2025-01-05,sh601958,12184903.0,9.94
2025-01-05,sh600196,12146596.0,4.41
2025-01-05,sz300558,12093156.0,6.61
2025-01-05,sz000983,12055179.0,5.39
2025-01-05,sh603663,12034014.0,7.27
2025-01-05,sh600782,12024135.0,11.02
2025-01-05,sz300217,12011630.0,13.26
2025-01-05,sh603659,11980277.0,6.9
2025-01-05,sh600222,11944978.0,7.91
2025-01-05,sh601808,11904478.0,9.96
2025-01-05,sh600363,11900462.0,2.96
2025-01-05,sh601677,11792467.0,6.19
2025-01-05,sh600566,11759390.0,4.32
2025-01-05,sh601111,11724285.0,3.79
2025-01-05,sh600085,11627131.0,6.42
2025-01-05,sz000725,11621413.0,1.2
2025-01-05,sz002714,11615156.0,2.03
2025-01-05,sz300194,11498831.0,7.86
2025-01-05,sh600011,11489359.0,8.94
2025-01-05,sz002204,11477338.0,4.42
2025-01-05,sz002010,11408513.0,18.83
2025-01-05,sz002219,11398078.0,7.05
2025-01-05,sh601128,11363366.0,9.92
2025-01-05,sz300344,11350870.0,15.21
2025-01-05,sh603766,11316197.0,3.86
2025-01-05,sh601658,11173968.0,1.7
2025-01-05,sz000563,11084061.0,9.51
2025-01-05,sh600506,11018462.0,5.93
2025-01-05,sz002946,11008485.0,9.01
2025-01-05,sh600211,10957341.0,12.04
2025-01-05,sh600328,10889391.0,9.24
2025-01-05,sh601226,10869195.0,4.39
2025-01-05,sz300812,10852155.0,21.6
2025-01-05,sh601366,10836143.0,24.42
2025-01-05,sz301598,10835594.0,6.08
2025-01-05,sz002243,10802976.0,6.63
2025-01-05,sz002214,10751411.0,12.46
2025-01-05,sh605378,10750811.0,3.13
2025-01-05,sh605066,10742207.0,8.27
2025-01-05,sh600481,10653465.0,4.19
2025-01-05,sz002756,10538884.0,6.0
2025-01-05,sz000685,10520884.0,16.73
2025-01-05,sz300079,10505877.0,9.19
2025-01-05,sz002262,10484820.0,11.56
2025-01-05,sz000927,10464925.0,13.39
2025-01-05,sz300896,10429650.0,3.91
2025-01-05,sh600436,10398871.0,2.93
2025-01-05,sz300903,10384494.0,16.95
2025-01-05,sz002120,10368867.0,10.95
2025-01-05,sz002038,10334247.0,2.26
2025-01-05,sz002437,10301012.0,7.47
2025-01-05,sz300926,10272832.0,7.67
2025-01-05,sz300360,10227932.0,7.18
2025-01-05,sz300618,10123088.0,4.65
2025-01-05,sz300232,10061103.0,7.82
2025-01-05,sh600458,10051831.0,18.98
2025-01-05,sh601998,9821315.0,2.88
2025-01-05,sz002593,9792375.0,7.09
