date,code,name,open,low,high,close,volume,amount
2024-12-31,sz301202,朗威股份,38.7,38.7,46.69,46.69,24659300.0,1115952923.4
2024-12-31,sz301010,晶雪节能,21.64,21.31,24.55,23.57,16980100.0,395303724.46
2024-12-31,sz002630,华西能源,3.19,3.16,3.48,3.48,150818200.0,513102055.26
2024-12-31,sz002397,梦洁股份,2.71,2.69,2.94,2.94,24262900.0,70137012.6
2024-12-31,sz002629,仁智股份,3.98,3.85,4.25,4.25,60843300.0,244456240.37
2024-12-31,sz002361,神剑股份,5.45,5.31,5.45,5.45,172132100.0,937406020.51
2024-12-31,sh600333,长春燃气,5.3,5.27,5.57,5.57,25112900.0,137353827.0
2024-12-31,sz002442,龙星化工,5.69,5.63,6.01,6.01,16755000.0,99320702.41
2024-12-31,sz300483,首华燃气,9.37,9.37,10.38,9.84,25179000.0,250817561.87
2024-12-31,sh600693,东百集团,6.1,6.1,7.0,7.0,181137100.0,1233326218.0
2024-12-31,sh603617,君禾股份,6.68,6.68,7.33,7.33,34527400.0,248892585.0
2024-12-31,sz002798,帝欧家居,4.02,4.01,4.38,4.38,18255000.0,77811937.35
2024-12-31,sz002529,海源复材,8.1,8.1,8.87,8.87,13013200.0,113215688.22
2024-12-31,sz002620,瑞和股份,4.48,4.47,4.49,4.49,43692500.0,196019193.86
2024-12-31,sh600778,友好集团,8.5,8.49,9.09,9.09,50407000.0,451262149.0
2024-12-31,sz000665,湖北广电,4.33,4.33,4.6,4.6,91070300.0,415801122.85
2024-12-31,sh600246,万通发展,6.72,6.48,7.45,7.45,151372700.0,1049187785.0
2024-12-31,sh600186,莲花控股,5.02,4.92,5.7,5.7,254627400.0,1386903837.0
2024-12-31,sh605580,恒盛能源,10.07,10.06,11.08,11.08,7669800.0,84447640.0
2024-12-31,sz002868,绿康生化,18.5,18.3,19.97,19.97,7501900.0,145439408.31
2024-12-31,sz002265,建设工业,20.75,19.68,23.27,23.27,105479600.0,2338935289.73
2024-12-31,sh600530,交大昂立,4.39,4.3,4.83,4.83,91212900.0,423642031.0
2024-12-31,sh605080,浙江自然,23.5,23.5,23.5,23.5,1766800.0,41520740.0
2024-12-31,sh600191,华资实业,6.36,6.26,6.92,6.92,38112300.0,261885961.0
2024-12-31,sh600745,闻泰科技,37.2,37.2,38.78,38.78,52493000.0,2022884763.0
2024-12-31,sh600903,贵州燃气,7.19,7.17,7.8,7.8,38140500.0,292482310.0
2024-12-31,sh600579,克劳斯,10.98,10.3,12.2,12.2,92725200.0,1107400080.0
2024-12-31,sz000759,中百集团,12.49,11.7,13.08,13.08,248760700.0,3210075506.4
2024-12-31,sz001277,速达股份,36.41,36.41,40.13,40.13,7572400.0,293082355.61
2024-12-31,sh603682,锦和商管,6.69,6.67,7.48,7.48,48335500.0,356531435.0
2024-12-31,sz002775,文科股份,3.52,3.52,3.85,3.85,10023400.0,38296004.8
2024-12-31,sz002066,瑞泰科技,10.4,10.3,11.33,11.33,8035600.0,89142735.85
2024-12-31,sz000995,皇台酒业,15.14,15.1,16.5,16.5,38596600.0,628275160.81
2024-12-31,sz000558,莱茵体育,3.25,3.2,3.41,3.41,85970600.0,289509979.66
2024-12-31,sh603777,来伊份,13.43,13.3,15.42,15.42,73252100.0,1084625911.0
2024-12-31,sz002350,北京科锐,7.08,7.08,7.6,7.6,30133700.0,226970338.18
2024-12-31,sz000905,厦门港务,6.62,6.59,7.16,7.16,60284500.0,424229542.98
2024-12-31,sz000533,顺钠股份,6.06,6.06,6.06,6.06,52080600.0,315608587.5
2024-12-31,sz002184,海得控制,10.67,10.67,11.68,11.68,24851100.0,285288057.84
2024-12-31,sh603630,拉芳家化,12.63,12.53,13.78,13.78,25393600.0,347075930.0
2024-12-31,sz002218,拓日新能,3.61,3.6,3.97,3.97,87606100.0,345399381.29
2024-12-31,sz000952,广济药业,5.62,5.61,6.18,6.18,17059300.0,102350420.56
